article_id,sentence_number,purepecha,spanish
2025480,1,“Ima kʼuiripu enga kurhajkuarhijka konsejuni xarhatasïndi jánhaskakua”(PROV,“La sabiduría acompaña a los que piden consejo”(PROV
2025480,2,13:10).,13:10).
2025480,3,AMBE ENGACHI JORHENGUARHIAKA,TEMA
2025480,4,Exeni jauakachi ambechi jatsiski para úni parajtsïni marhuacheni ima konsejuecha engachi intsïnhauaka.,Qué debemos hacer para beneficiarnos al máximo de los consejos que recibimos.
2025480,5,1.¿Ambejtsïni jarhuataa ambakiti ambe erakuni úni ka eskajtsïni sési uéracheaka,1.¿Cómo podemos tomar buenas decisiones y lograr que nuestros planes salgan bien
2025480,6,(Proverbios 13:10;15:22).,(Proverbios 13:10;15:22).
2025480,7,IÁMINDUECHACHI uékasïnga imani ambe úni enga sési jaka ka eskajtsïni sési uéracheaka,TODOS queremos tomar buenas decisiones y que nuestros planes salgan bien
2025480,8,"Ísï jimbo, Tata Diosïiri Karakatajtsïni jorhendasïndi eska parakajtsïni sési nicheaka jatsiskachi para konseju kurhajkuarhini(arhinta jeProverbios 13:10;15:22).",La Palabra de Dios nos enseña que para lograrlo tenemos que pedir consejo(leaProverbios 13:10;15:22).
2025480,9,2.¿Ambejtsïni aiachiskia Tata Diosï Jeoba?,2.¿Qué nos ha prometido Jehová?
2025480,10,"2Juchaari Taati, Tata Diosï Jeoba, imajkujtsïnisï uaati sánderu ambakiti konsejuechani íntsaani","2Sin duda, nadie puede darnos mejores consejos que nuestro Padre, Jehová"
2025480,11,Jimbosï xáni sésiiti eskachi kurhakuaka jánhaskakua,Por eso hacemos bien en orarle para pedirle sabiduría
2025480,12,Imajtsïni aiachisti: “Arhistachiakakini t’ungini exeparini” (Sal,Él nos ha prometido: “Te aconsejaré con mis ojos puestos en ti” (Sal
2025480,13,32:8),32:8)
2025480,14,I ambe arhikuekasïndi eska Tata Diosï Jeoba kánikua pendienti jarhasïnga juchantsïni jimbo parajtsïni íntsaani konsejuecha engachi meru uétarhinchani jarhajka ka jarhuatasïndijtsïni ísï úni.,Esto significa que Jehová está muy pendiente de nosotros para darnos justo el consejo que necesitamos y para ayudarnos a aplicarlo.
2025480,15,3.¿Náki kurhamarhikuechanchi mókuantani jaua?,3.¿Qué preguntas responderemos en este artículo?
2025480,16,"3Ini artikulu jimbo, úranchi jauaka Tata Diosïiri Karakatani parachi mókuantani arini tʼámu kurhamarhikuechani: 1) ¿Náki kualidadiichani uétarhinchaasïni parakarini konseju marhuauaka?, 2) ¿Néni uaa kurhakuni ambakiti konseju ma?, 3) ¿Néna uaa xarhatani eskani sési jimbo uétarhinchaxaka konseju ma","3En este artículo usaremos la Palabra de Dios para responder a cuatro preguntas que quizás nos hagamos: 1) “¿Qué cualidades necesito para beneficiarme de los buenos consejos que reciba?”, 2) “¿Quién puede darme buenos consejos?”, 3) “¿Por qué es bueno que tenga una mente abierta?” y 4) “¿Por qué no debo pedirles a otros que decidan por mí?”."
2025480,17,ka 4) ¿Andisïni no jatsi parani máteruechani kurhamarhiani ambe uaa ji?,4.¿Qué cualidades necesitamos si queremos beneficiarnos de los consejos que recibamos?
2025480,18,4.¿Náki kualidadiichanchi jatsiski para xarhataani engachi uéjka eskajtsïni marhuacheaka konsejuecha?,"4Para beneficiarnos de los buenos consejos que recibamos, tenemos que serhumildesymodestos.Debemos admitir que a menudo tomaremos mejores decisiones si le pedimos consejo a alguien que tenga más experiencia o sepa más que nosotros"
2025480,19,"4Parajtsïni marhuacheni konseju ma, jatsiskachi parakaxumbitiinikajiókuarhini eskachi no iámindu ambe míteska.Ísï jimbo, parajtsïni sési uérachini ambe ma, jatsiskachi para imani kʼuiripueni kurhakuni konseju ma enga sánderu ambe míteka eska jucha","Sin estas cualidades, Jehová no podrá ayudarnos y, entonces, no veremos la necesidad de aplicar los consejos que leamos en su Palabra (Miq"
2025480,20,Engachi no xarhatauaka indeni kualidadiichani Tata Diosï Jeobajtsïni no uaati jarhuatani ka sánderu úkua jukaati ísï úni eskaksï Biblieri konsejuecha na uandajka (Miq,6:8;1 Ped
2025480,21,6:8;1 Ped,5:5)
2025480,22,5:5),"Pero, si somos humildes, tendremos losoídos abiertos a cualquier consejo que venga de la Biblia."
2025480,23,"Joperu engachi kaxumbitiiska, sánderuchi jingontku jauaka parachi ísï úni eska Biblia na uandajka.",5.¿Por qué podría haberse vuelto orgulloso el rey David?
2025480,24,5.¿Ambe ka ambe jimbo úpirini kʼéramakuarhini rei Dabidi?,"5Veamos lo que podemos aprender del ejemplo del rey David, que fue humilde a pesar de sus logros y habilidades"
2025480,25,"5Iásï, ju je exeni ambechi uaa jorhenguarhini rei Dabidiiri ambe","Muchos años antes de ser rey, ya era un músico famoso, y hasta tocaba delante del rey Saúl (1 Sam"
2025480,26,Ima kaxumbitiispti nájkiruka uánikua ambe úpkia ka mámaru ambe jorhenani úni,"16:18, 19)"
2025480,27,"Ante de reini, ima kánikua sési kústasïreendi ka asta kústakusïreendi rei Saúlini (1 Sam","Cuando Jehová lo eligió para que fuera el siguiente rey, lo llenó de poder con su espíritu santo (1 Sam"
2025480,28,"16:18, 19)",16:11-13)
2025480,29,"Ísï jimbo, enga Tata Diosï Jeoba erakupka paraka reipiringa, íntskuspti uinhapikua imeeri espiritu santu jimbo (1 Sam","Y el pueblo lo aclamaba porque había derrotado a muchísimos enemigos, como Goliat, el gigante filisteo (1 Sam"
2025480,30,16:11-13),"17:37,50;18:7)"
2025480,31,"Ka enga ireta exeenga Dabidini, k’éri ambe arhisïreendi jimboka ima uándikuspka Goliatini, achamasïni ma enga kánikua iójtarhapka ka Filistea anapueni (1 Sam","Si hubiera sido orgulloso, David podría haber pensado: “Con todo lo que he logrado en mi vida, no necesito que nadie me dé consejos”"
2025480,32,"17:37,50;18:7)",Pero él no era así.
2025480,33,Joperu Dabidi no méni kʼéramakuarhispti nijtu eratsepi: “No uétarhinchasïnga eskarini nema konseju íntskuaka jimbokani uánikua ambe úskia”.,6.¿Cómo sabemos que David aceptaba con gusto que le dieran consejos
2025480,34,6.¿Nénachi míteski eska Dabidi jiókuarhiasïreenga imani konsejuechani enga intsïnhauenga,(Vea también la imagen).
2025480,35,(Ístu exe je imajenini).,"6Cuando David ya era rey, se rodeó de hombres de confianza para que le dieran consejos (1 Crón"
2025480,36,"6Enga Dabidi na reiipkia, imani achamasïicha jingoni kúnguarhisïreendi engaksï ambakiti amiguepka ka engaksï ambarhati konsejuecha íntsaapiringa (1 Crón",27:32-34)
2025480,37,27:32-34),"Y no es de extrañar, porque él siempre había estado dispuesto a escuchar buenos consejos, sin importar que se los diera un hombre o una mujer"
2025480,38,"Na uéjki acheeti o uarhiiti ma íntskuni konseju ma, méntkisï jingontku kurhajchaasïreendi","Eso fue lo que pasó con Abigaíl, la esposa de un hombre arrogante, egoísta y desagradecido llamado Nabal"
2025480,39,"Ka ísïsï úpti Abigaíli jingoni, enga Nabaliiri témbeepka, achamasï ma enga kʼéramakuarhienga, iámu ambe mínguarhini ka enga no ma ambe agradeseriuenga","David fue humilde e hizo caso de lo que ella le dijo, y gracias a eso evitó cometer un terrible error (1 Sam"
2025480,40,Joperu Dabidi kaxumbitiispti ka ísï úspti eska Abigaíli na arhipka ka inde ambe jarhuataspti paraka Dabidino no sési ambe niátapiringa (1 Sam,"25:2, 3,21-25,32-34)."
2025480,41,"25:2, 3,21-25,32-34).",El rey David fue humilde e hizo caso del consejo de Abigaíl
2025480,42,"Rei Dabidi kaxumbitiispti, jimbosï kasu úpti Abigaíliiri konsejuni",(Vea el párrafo 6).
2025480,43,(Exe je párrafu 6).,7.¿Qué lecciones nos enseña el ejemplo de David
2025480,44,7.¿Ambechi jorhenguarhisïni Dabidiiri ambe,(Eclesiastés 4:13; vea también las imágenes).
2025480,45,(Eclesiastés 4:13; ístu exea je imajeniichani).,7¿Qué lecciones nos enseña el ejemplo de David
2025480,46,7Mámaru ambechi jorhenguarhisïnga Dabidiiri ambe,"Por un lado, que aunquetengamos mucho talento y cierta autoridad no debemos pensar que ya lo sabemos todo y que no necesitamos que nadie nos aconseje"
2025480,47,"Ísï eska ima, nóchi jatsiska para eratseni eskachi iámindu ambe míteskia o eskachi no uétarhinchasïnga eskajtsïni nema konseju íntskuaka jimbokachi uánikua ambe jorhenaska úni o juramukua jatsini","Por otro lado, tenemos que estar dispuestos a escuchar cualquier buen consejo, sin importar de quién venga(leaEclesiastés 4:13).Así será más probable que no cometamos graves errores que nos hagan daño a nosotros o a otras personas."
2025480,48,"Ka ístu jatsiskachi para kurhajchaani imani konsejuechani engajtsïni máteruecha íntsauaka no arhiparini né uéjkijtsïni íntsaani(arhinta jeEclesiastés 4:13).Engachi ísï úska, nóchi no sési ambe úkuarhinchaaka níjtu máteruechani no sési úkuani.","Tenemos que estar dispuestos a escuchar cualquier buen consejo, sin importar de quién venga"
2025480,49,"Né uéjkijtsïni íntskuni konseju ma, jatsiskachi para jingontku kurhaani",(Vea el párrafo 7).c
2025480,50,(Exe je párrafu 7).c,8.¿Por qué hizo bien David en buscar el consejo de Jonatán?
2025480,51,8.¿Andisï sési japi enga Dabidi Jonatánini nípka jirinhantani para konseju kurhakuni?,8Veamos otra lección que nos enseña el ejemplo de David
2025480,52,8Ístu ju je exeni máteru ambe engajtsïni Dabidi jorhendajka,Él escuchaba los consejos de aquellos que 1) tenían una buena relación con Jehová y 2) entendían bien su situación
2025480,53,Ima jiókuarhisïreendi imeecheeri konsejuni engaksï sési pájpereenga Tata Diosï Jeoba jingoni ka engaksï sési kurhangukuenga Dabidini,"Por ejemplo, cuando quiso saber si podría hacer las paces con el rey Saúl, buscó el consejo de Jonatán, el hijo de Saúl"
2025480,54,"Pori ejemplu, jiáni enga Dabidi uékeenga míteni sini úpirini sési pájperantani rei Saúli jingoni, Jonatánini niraspti jirinhantani para konseju kurhakuni, jo, Saúli uájpani",¿Por qué era Jonatán la persona más indicada en este caso
2025480,55,¿Andisï imani nípi jirinhantani,Porque tenía una buena relación con Jehová y además conocía muy bien a Saúl (1 Sam
2025480,56,Jimboka Dabidi sési mítespka eska Jonatáni sési pájperasïreenga Tata Diosï Jeoba jingoni ka ístu sési mítespti Saúlini (1 Sam,20:9-13)
2025480,57,20:9-13),¿Cómo podemos imitar el ejemplo de David?
2025480,58,¿Nénachi uaa juchajtu májkueni úni eska Dabidi?,"9.Si necesitamos un consejo, ¿a quién se lo debemos pedir"
2025480,59,9.¿Nénchi niua andarhierani engachi konseju ma uétarhinchani jauaka,Ponga un ejemplo (Proverbios 13:20).
2025480,60,Úra je ejemplu ma (Proverbios 13:20).,"9Cuando necesitemos un consejo sobre algo, es bueno que se lo pidamos a alguien que 1) tenga una buena relación con Jehová y 2) tenga experiencia en ese tema(leaProverbios 13:20).aPor ejemplo, imaginemos que un hermano joven desea casarse"
2025480,61,"9Engachi konseju ma uétarhinchani jauaka, sési jauati imani kʼuiripuechani konseju kurhakuani engaksï sési jauaka Tata Diosï Jeoba jingoni ka engaksï sési míteka indeeri ambe engachi nitamakuarhini jaka(arhinta jeProverbios 13:20).aPori ejemplu, ju je eranhaskani eska erachi ma uékaxaka tembuchani",¿A quién podría pedirle consejo
2025480,62,I erachi úpirindi amigu jémbani ma kurhamarhini enga no tembuchatini jaka ka enga ambarhati konsejuecha íntsauaka Biblia jingoni,Un amigo soltero puede darle consejos útiles si están basados en los principios bíblicos
2025480,63,"Joperu sánderu marhuakuati enga temungurhirini ma niraska andarhierani, indeni temungurhirini enga sési jaka Tata Diosï Jeoba jingoni ka engaksï ióni sési irekuarhikia","Pero el joven seguramente reciba consejos más prácticos y específicos si le pregunta a una pareja espiritual, que lo conozca bien y que lleve felizmente casada un tiempo."
2025480,64,I temungurhiri uaati kánikua jarhuatani tumbini ka imani ambe aianguni enga kánikua marhuakuaka.,10.¿Qué veremos ahora?
2025480,65,10.¿Iásïchi ambe exeaia?,10Ya hemos analizado qué dos cualidades necesitamos y quién puede darnos buenos consejos
2025480,66,10Exeaskachia kualidadiichani engachi jatsika para xarhataani ka ístu né engajtsïni uaaka ambakiti konseju ma íntskuni,Veamos ahora por qué debemos tener una mente abierta y si es buena idea pedirles a los demás que decidan por nosotros.
2025480,67,"Iásï, ju je exeni nénachi uaa xarhatani eskachi sési jimbo uétarhinchaxaka konseju ma ka sini sési jarhaski kurhakuni nemani eskajtsïni arhiaka ambe úni.","11, 12.a) ¿Qué no deberíamos hacer"
2025480,68,"11, 12.a) ¿Ambechi no jatsiski para úni",b) ¿Qué hizo Rehoboam cuando tuvo que tomar una decisión importante?
2025480,69,b) ¿Ambe úspi Reoboami engaksï israeliteecha jarhuajperata kurhakupka?,11Puede que a veces alguien le pida consejo a otra persona para tomar una decisión pero en el fondo ya la haya tomado y solo esté buscando que le den la razón
2025480,70,"11Máru kʼuiripuechaksï t’uini exesïndia ambe úni joperuksï konseju kurhajkuarhini jarhasïndi nomasi paraka nema arhiauaka eska sési jarhaska ambe engaksï erakukia úni, joperu inde ambe no sési jarhasti",Quien hace eso no tiene la mente abierta
2025480,71,Ju je exeni rei Reoboamiiri ejempluni,El mal ejemplo del rey Rehoboam puede servirnos a todos de advertencia.
2025480,72,Ambe enga ima úpka exerasïndijtsïni eskachi no jatsiska para májkueni jámani.,"12Rehoboam se convirtió en rey de Israel cuando su padre, Salomón, murió"
2025480,73,"12Enga na Salomóni uarhipkia, Reoboami niáraspti jindeeni Israeli anapu rei","En ese tiempo, la nación era muy próspera, pero los israelitas se quejaron de que Salomón les había exigido demasiado"
2025480,74,"Imani tiempu jimbo, iámindu ireta ambakiti ambe jatsispti, joperu israeliteechaksï ueenaspti uandani eska Salomóni jukari uinhamu ánchitaaspka",Así que le pidieron a Rehoboam que les aligerara su carga de trabajo
2025480,75,"Ísï jimbo, arhisptiksï Reoboamini eska nóteru xáni uinhamu ánchitaapiringia ka ima arhiaspti eskaksï erokapiringa paraka exepiringa néna jarhuataapirini",El rey les contestó que necesitaba tiempo para pensarlo
2025480,76,"Tátsekua niraspti kurhamarhiani imani achamasïichani engaksï Salomónini jarhuateenga, ka kurhamarhiaspti néna jámapirini (1 Rey","Y empezó bien, porque les pidió consejo a los ancianos que hasta entonces habían ayudado a Salomón (1 Rey"
2025480,77,12:2-7),12:2-7)
2025480,78,Joperu Reoboami no kasu úkuaspti ambe engaksï arhipka,"Sin embargo, luego rechazó el consejo que le dieron"
