article_id,sentence_number,purepecha,spanish
2025480,1,“Ima kʼuiripu enga kurhajkuarhijka konsejuni xarhatasïndi jánhaskakua”(PROV,“La sabiduría acompaña a los que piden consejo”(PROV
2025480,2,AMBE ENGACHI JORHENGUARHIAKA,Qué debemos hacer para beneficiarnos al máximo de los consejos que recibimos.
2025480,3,Exeni jauakachi ambechi jatsiski para úni parajtsïni marhuacheni ima konsejuecha engachi intsïnhauaka.,1.¿Cómo podemos tomar buenas decisiones y lograr que nuestros planes salgan bien
2025480,4,1.¿Ambejtsïni jarhuataa ambakiti ambe erakuni úni ka eskajtsïni sési uéracheaka,(Proverbios 13:10;15:22).
2025480,5,(Proverbios 13:10;15:22).,TODOS queremos tomar buenas decisiones y que nuestros planes salgan bien
2025480,6,IÁMINDUECHACHI uékasïnga imani ambe úni enga sési jaka ka eskajtsïni sési uéracheaka,La Palabra de Dios nos enseña que para lograrlo tenemos que pedir consejo(leaProverbios 13:10;15:22).
2025480,7,"Ísï jimbo, Tata Diosïiri Karakatajtsïni jorhendasïndi eska parakajtsïni sési nicheaka jatsiskachi para konseju kurhajkuarhini(arhinta jeProverbios 13:10;15:22).",2.¿Qué nos ha prometido Jehová?
2025480,8,2.¿Ambejtsïni aiachiskia Tata Diosï Jeoba?,"2Sin duda, nadie puede darnos mejores consejos que nuestro Padre, Jehová"
2025480,9,"2Juchaari Taati, Tata Diosï Jeoba, imajkujtsïnisï uaati sánderu ambakiti konsejuechani íntsaani",Por eso hacemos bien en orarle para pedirle sabiduría
2025480,10,Jimbosï xáni sésiiti eskachi kurhakuaka jánhaskakua,Él nos ha prometido: “Te aconsejaré con mis ojos puestos en ti” (Sal
2025480,11,Imajtsïni aiachisti: “Arhistachiakakini t’ungini exeparini” (Sal,Esto significa que Jehová está muy pendiente de nosotros para darnos justo el consejo que necesitamos y para ayudarnos a aplicarlo.
2025480,12,I ambe arhikuekasïndi eska Tata Diosï Jeoba kánikua pendienti jarhasïnga juchantsïni jimbo parajtsïni íntsaani konsejuecha engachi meru uétarhinchani jarhajka ka jarhuatasïndijtsïni ísï úni.,3.¿Qué preguntas responderemos en este artículo?
2025480,13,3.¿Náki kurhamarhikuechanchi mókuantani jaua?,"3En este artículo usaremos la Palabra de Dios para responder a cuatro preguntas que quizás nos hagamos: 1) “¿Qué cualidades necesito para beneficiarme de los buenos consejos que reciba?”, 2) “¿Quién puede darme buenos consejos?”, 3) “¿Por qué es bueno que tenga una mente abierta?” y 4) “¿Por qué no debo pedirles a otros que decidan por mí?”."
